Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street,Location
190325212,2019-11-23,1315.0,3,Southwest,328,21,F,W,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,28TH                         ST,E  UNIVERSITY,"(34.0278, -118.281)"
5809994,2019-11-27,2100.0,18,Southeast,1801,20,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,FIGUEROA,MANCHESTER,"(33.9601, -118.2827)"
190818921,2019-11-27,1645.0,8,West LA,893,42,M,W,18.0,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,SEPULVEDA                    BL,PEARL,"(34.0344, -118.4336)"
5672540,2019-11-24,356.0,15,N Hollywood,1547,30,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,BURBANK,HOLLYWOOD                    FY,"(34.1673, -118.3816)"
5806232,2019-11-23,149.0,2,Rampart,239,25,M,H,22.0,Driving Under Influence,M,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,WESTERN                      AV,101 SOUTHBOUND,"(34.0609, -118.2535)"
190112235,2019-04-26,1505.0,1,Central,152,57,M,H,18.0,Drunkeness,M,41.27CLAMC,DRINKING IN PUBLIC,6TH,HILL,"(34.0481, -118.2542)"
190112276,2019-04-27,2215.0,1,Central,163,35,M,H,17.0,Liquor Laws,I,25620ABP,DRINKING ALCOHOL,7TH,FLOWER,"(34.0438, -118.2547)"
190210388,2019-04-22,1655.0,2,Rampart,245,20,M,H,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210389,2019-04-22,1655.0,2,Rampart,245,21,M,H,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210391,2019-04-23,1740.0,2,Rampart,245,54,M,B,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210392,2019-04-23,1735.0,2,Rampart,245,28,M,B,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
190210394,2019-04-23,1735.0,2,Rampart,245,48,F,B,17.0,Liquor Laws,I,25620BP,OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE,2200 W  6TH                          ST,,"(34.0601, -118.2761)"
